Expression,Kana,Type,Accent,Chinese-Meaning,Verb-Type,Category
やむ,やむ,Verb,[0],結束/停止,自五,-
おる,おる,Verb,[1],在/有,自五,-
合う,あう,Verb,[1],適合/會和/一致,自五,-
空く,あく,Verb,[0],空出/空閒,自五,-
空く,すく,Verb,[0],空隙/餓,自五,-
泣く,なく,Verb,[0],哭泣,自五,-
沸く,わく,Verb,[0],沸騰,自五,-
着く,つく,Verb,[1],到達,自五,-
勝つ,かつ,Verb,[1],勝利/獲勝/贏,自五,-
込む,こむ,Verb,[1],擁擠/進入,自五,-
済む,すむ,Verb,[1],解決,自五,-
鳴る,なる,Verb,[0],響;鳴,自五,-
寄る,よる,Verb,[0],靠近/順道,自五,-
向かう,むかう,Verb,[0],向/往/面對,自五,-
通う,かよう,Verb,[0],通學/往來/通行,自五,-
笑う,わらう,Verb,[0],笑,自五,-
動く,うごく,Verb,[2],動/行動,自五,-
続く,つづく,Verb,[0],繼續/連續,自五,-
乾く,かわく,Verb,[2],乾涸/口乾/乾燥,自五,-
急ぐ,いそぐ,Verb,[2],急/快點,自五,-
騒ぐ,さわぐ,Verb,[2],騷動/吵鬧,自五,-
進む,すすむ,Verb,[0],前進/進展,自五,-
参る,まいる,Verb,[1],來/去/輸/傷腦筋,自五,-
光る,ひかる,Verb,[2],發光,自五,-
通る,とおる,Verb,[1],透過/通過,自五,-
治る,なおる,Verb,[2],治療,自五,-
直る,なおる,Verb,[2],修理/改正/更正,自五,-
踊る,おどる,Verb,[0],跳舞,自五,-
戻る,もどる,Verb,[2],返回,自五,-
怒る,おこる,Verb,[2],生氣,自五,-
太る,ふとる,Verb,[2],肥胖,自五,-
残る,のこる,Verb,[2],殘餘/剩下,自五,-
移る,うつる,Verb,[2],移動/變遷,自五,-
滑る,すべる,Verb,[2],滑,自五,-
眠る,ねむる,Verb,[0],睡覺,自五,-
触る,さわる,Verb,[0],觸摸,自五,-
回る,まわる,Verb,[0],旋轉/巡視,自五,-
謝る,あやまる,Verb,[3],道歉/謝罪,自五,-
驚く,おどろく,Verb,[3],驚訝/大驚,自五,-
喜ぶ,よろこぶ,Verb,[3],喜悅,自五,-
上がる,あがる,Verb,[0],上升/抬起,自五,-
下がる,さがる,Verb,[2],下降/退下/下班/放學,自五,-
変わる,かわる,Verb,[0],變化/異於一般,自五,-
決まる,きまる,Verb,[0],決定,自五,-
泊まる,とまる,Verb,[0],停泊/留宿,自五,-
集まる,あつまる,Verb,[3],集合,自五,-
頑張る,がんばる,Verb,[3],加油/努力,自五,-
間に合う,まにあう,Verb,[3],來得及/趕上,自五,-
見つかる,みつかる,Verb,[0],發現/找出,自五,-
いらっしゃる,いらっしゃる,Verb,[4],有/在/來/去的敬語,自五,-
似る,にる,Verb,[0],像/相似,自上,-
下りる,おりる,Verb,[2],降落/下(車)/退出,自上,-
出来る,できる,Verb,[2],辦得到/做完/完成,自上,-
生きる,いきる,Verb,[2],活/生存/有用,自上,-
足りる,たりる,Verb,[0],足夠,自上,-
落ちる,おちる,Verb,[2],掉/凋零,自上,-
