Expression,Kana,Type,Accent,Chinese-Meaning,Verb-Type
言う,いう,Verb,[0],說,他五
売る,うる,Verb,[0],賣,他五
置く,おく,Verb,[0],放置,他五
押す,おす,Verb,[0],推/按/壓,他五
買う,かう,Verb,[0],買,他五
書く,かく,Verb,[1],寫,他五
貸す,かす,Verb,[0],借(出),他五
聞く,きく,Verb,[0],聽/問,他五
切る,きる,Verb,[1],切割/中斷,他五
消す,けす,Verb,[0],消除/擦掉,他五
知る,しる,Verb,[0],知道,他五
吸う,すう,Verb,[0],吸,他五
出す,だす,Verb,[1],拿出/提出,他五
撮る,とる,Verb,[1],拍照/攝影,他五
取る,とる,Verb,[1],拿取,他五
脱ぐ,ぬぐ,Verb,[1],脫(衣物等),他五
飲む,のむ,Verb,[1],喝,他五
穿く,はく,Verb,[0],穿(褲子等),他五
履く,はく,Verb,[0],穿(鞋子等),他五
貼る,はる,Verb,[0],張貼,他五
引く,ひく,Verb,[0],拉/引誘/抽,他五
弾く,ひく,Verb,[0],彈奏,他五
吹く,ふく,Verb,[1],吹,他五
待つ,まつ,Verb,[1],等待,他五
持つ,もつ,Verb,[1],拿/持有,他五
呼ぶ,よぶ,Verb,[0],呼叫/稱呼,他五
読む,よむ,Verb,[1],讀/唸,他五
洗う,あらう,Verb,[0],洗(手.物品),他五
歌う,うたう,Verb,[0],唱,他五
頼む,たのむ,Verb,[2],拜託/請求,他五
使う,つかう,Verb,[0],使用,他五
作る,つくる,Verb,[2],製作/做,他五
習う,ならう,Verb,[2],學習/用功,他五
話す,はなす,Verb,[2],說/談/討論,他五
磨く,みがく,Verb,[0],磨/刷(牙),他五
渡す,わたす,Verb,[0],交給/渡過,他五
返す,かえす,Verb,[1],回答/返回,他五
やる,やる,Verb,[0],做/玩,他五
さす,さす,Verb,[1],撐(傘),他五
なくす,なくす,Verb,[0],弄丟/丟失,他五
かぶる,かぶる,Verb,[2],戴(帽子等),他五
くださる,くださる,Verb,[3],給,他五
コピーする,コピーする,Verb,[1],拷貝/影印,他サ
質問する,しつもんする,Verb,[0],提問,他サ
洗濯する,せんたくする,Verb,[0],洗(衣物),他サ
掃除する,そうじする,Verb,[0],打掃,他サ
勉強する,べんきょうする,Verb,[0],學習/用功,他サ
練習する,れんしゅうする,Verb,[0],練習,他サ
着る,きる,Verb,[0],穿(上衣等),他上
